trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-138.79556275552358,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-92.96781486886526,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-88.49595543543363,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-107.34365190502092,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,13,-67.33067349663115,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-97.3099003309741,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-169.94291703770324,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-178.18647618741977,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-10.610403506490453,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-30.168504431446912,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",30,0,-120.26929533709067,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-132.563896150605,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",30,0,-69.08892525166554,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-255.9226365636025,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 6}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,0,-157.0011976987765,"{0: 20, 1: 0, 2: 6, 3: 2, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-109.76494400408444,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-71.02860977114119,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-61.584139544528625,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-143.2741417066987,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,2,-9.856888330645674,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-62.778801571554915,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-49.76003970715217,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",25,9,-35.11776386850612,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-150.1444699381979,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,1,-180.44295904020518,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 3}",1
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-72.86222697686634,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-93.41477712136121,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,0,-233.73439928247186,"{0: 11, 1: 6, 2: 2, 3: 2, 4: 4}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-39.284224789646025,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-65.8220724817587,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-93.65177989297159,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-219.71886626473372,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-171.34623743975936,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-97.4406848804906,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",35,16,-146.6075729553126,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 2}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-29.915006329000885,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-72.00423491361511,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,2,-71.80434801675814,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-126.44123587381968,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-142.5234678182843,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,7,-175.0996039793662,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 3}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,15,8.935339691440452,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,7,-129.54696436942575,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
